Date,YSB,Temp,RH,RF
01-09-2017,0,29.95,84.5,0
02-09-2017,0,26.95,93,68
03-09-2017,0,27.95,93,0
04-09-2017,4,30.05,73,0
05-09-2017,7,29.95,74.5,0
06-09-2017,15,29.95,84.5,0
07-09-2017,17,28.95,89,0
08-09-2017,0,29.5,80,0
09-09-2017,21,29.95,81.5,0
10-09-2017,1,30.1,81,0
11-09-2017,25,29.7,83.5,0
12-09-2017,15,30.45,82.5,0
13-09-2017,22,29,85.5,39
14-09-2017,2,29.95,84.5,18
15-09-2017,0,30.9,78.5,0
16-09-2017,23,30.65,69.5,0
17-09-2017,27,31.55,71.5,0
18-09-2017,42,30.75,72.5,0
19-09-2017,51,27.05,86.5,14
20-09-2017,32,27.95,87,0
21-09-2017,30,29.45,90.5,0
22-09-2017,0,29.95,83,0
23-09-2017,30,29.95,76,0
24-09-2017,13,30.55,79.5,0
25-09-2017,8,30.45,80.5,40
26-09-2017,9,31,84,0
27-09-2017,10,29.2,88.5,0
28-09-2017,17,28.95,83,0
29-09-2017,6,29.15,85.5,45
30-09-2017,23,29.45,86.5,0
01-10-2017,21,28.2,87,80
02-10-2017,0,28.85,86.5,0
03-10-2017,20,28.8,74,0
04-10-2017,25,27.65,90,0
05-10-2017,40,27,90.5,0
06-10-2017,7,27.75,88.5,0
07-10-2017,0,27.95,88,0
08-10-2017,10,27.7,89,0
09-10-2017,0,28.95,86,17
10-10-2017,20,27.6,88.5,21
11-10-2017,40,29.95,81,0
12-10-2017,15,30.1,81.5,0
13-10-2017,0,30.1,79.5,0
14-10-2017,49,30.1,87,0
15-10-2017,42,30.35,85.5,0
16-10-2017,95,28.95,78,0
17-10-2017,89,30,81.5,0
18-10-2017,62,27.95,88.5,0
19-10-2017,94,26.95,90,33
20-10-2017,11,25.65,92.5,40
21-10-2017,90,29.15,76.5,34
22-10-2017,84,29.65,76.5,0
23-10-2017,43,30.15,84.5,0
24-10-2017,81,29.75,79,0
25-10-2017,10,29.9,66.5,0
26-10-2017,25,28.75,77,0
27-10-2017,17,27.5,75,0
28-10-2017,26,27.25,78.5,0
29-10-2017,0,27.85,70,0
30-10-2017,45,27.45,74,0
31-10-2017,45,29.1,94.5,0
01-11-2017,60,24.95,77,0
02-11-2017,55,24.05,79,0
03-11-2017,58,24.35,75,0
04-11-2017,0,25.35,77,0
05-11-2017,0,25.25,73.5,0
06-11-2017,40,26.45,76,0
07-11-2017,35,25.95,72,0
08-11-2017,38,26.5,74,0
09-11-2017,25,25,70.5,0
10-11-2017,28,25.45,70,0
11-11-2017,0,26.05,73,0
12-11-2017,0,25.5,74,0
13-11-2017,60,21.85,77,0
14-11-2017,45,23.7,68,0
15-11-2017,38,23.55,64,0
16-11-2017,0,24,84.5,40
17-11-2017,40,21.85,86,7
18-11-2017,0,20.6,82,0
19-11-2017,0,21.2,92.5,0
20-11-2017,55,19.2,89,0
21-11-2017,30,22.5,77.5,0
22-11-2017,30,23.95,75,0
23-11-2017,36,21.45,70.5,0
24-11-2017,30,21.1,63.5,0
25-11-2017,28,20.85,66.5,0
26-11-2017,0,21.3,61,0
27-11-2017,35,20.95,70.5,0
28-11-2017,25,21.95,76.5,0
29-11-2017,35,21.45,68.5,0
30-11-2017,30,21.55,73,0
01-12-2017,35,19.95,71,0
02-12-2017,0,20,70,0
03-12-2017,0,19.5,66.5,0
04-12-2017,27,19.5,71,0
05-12-2017,25,19.45,66.5,0
06-12-2017,27,19.8,82.5,0
07-12-2017,20,18.45,78,0
08-12-2017,22,24.1,90.5,0
09-12-2017,0,22.9,87,17
10-12-2017,0,24.7,72.5,0
11-12-2017,30,23.95,69.5,0
12-12-2017,14,24.5,81,0
13-12-2017,15,24.45,70,0
14-12-2017,17,22.95,90,0
15-12-2017,15,23,90.5,0
16-12-2017,17,22.95,92.5,0
17-12-2017,0,21.95,85.5,0
18-12-2017,13,19.45,85.5,0
19-12-2017,15,18.45,88,0
20-12-2017,17,19,90,0
21-12-2017,15,19.45,95,0
22-12-2017,13,20.05,98,0
23-12-2017,12,20.65,96.5,0
24-12-2017,0,19.95,93,0
25-12-2017,0,20.05,94,0
26-12-2017,10,20.15,90.5,0
27-12-2017,8,18.45,72.5,0
28-12-2017,7,18.25,80.5,0
29-12-2017,4,18.9,77.5,0
30-12-2017,3,18.95,72,0
31-12-2017,0,19.65,74.5,0
01-01-2018,1,19.95,78.5,0
02-01-2018,0,19.4,67.5,0
03-01-2018,3,17.95,71.5,0
04-01-2018,3,18.5,66.5,0
05-01-2018,2,18.05,66,0
06-01-2018,3,17.5,73,0
07-01-2018,0,18.95,72,0
08-01-2018,2,19.05,72,0
09-01-2018,1,17.45,67.5,0
10-01-2018,2,17,71,0
11-01-2018,8,17.95,66.5,0
12-01-2018,9,18.6,73,0
13-01-2018,0,19.45,68.5,0
14-01-2018,0,18.95,61,0
15-01-2018,12,18.45,59,0
16-01-2018,5,18.95,69,0
17-01-2018,4,19.35,69.5,0
18-01-2018,4,18.95,70,0
19-01-2018,4,18.55,64.5,0
20-01-2018,4,18.6,65.5,0
21-01-2018,0,18.8,64,0
22-01-2018,5,19.85,68.5,0
23-01-2018,5,19.85,69,0
24-01-2018,6,21,69.5,0
25-01-2018,6,21.35,71.5,0
26-01-2018,0,21,71,0
27-01-2018,5,21.25,70,0
28-01-2018,7,21.35,70,0
29-01-2018,7,20.65,71.5,0
30-01-2018,8,20.8,72.5,0
31-01-2018,18,21.4,64.5,0
01-02-2018,16,21.6,81,0
02-02-2018,20,22.35,67.5,0
03-02-2018,18,21.65,84.5,0
04-02-2018,0,22.25,84,0
05-02-2018,18,22.45,80.5,0
06-02-2018,25,22.1,86.5,0
07-02-2018,0,23.75,84.5,0
08-02-2018,28,23.15,85,0
09-02-2018,45,24.2,80,0
10-02-2018,0,23.95,92,0
11-02-2018,38,22.7,93,0
12-02-2018,38,22.2,94.5,0
13-02-2018,55,21.85,88.5,0
14-02-2018,70,22.7,65,0
15-02-2018,115,22.95,93.5,0
16-02-2018,100,22.95,68.5,0
17-02-2018,77,22.45,95.5,0
18-02-2018,0,23.2,91,0
19-02-2018,115,23.2,89,0
20-02-2018,105,24.45,84.5,0
21-02-2018,125,24.7,79,0
22-02-2018,72,24.7,72,0
23-02-2018,72,24.95,73.5,0
24-02-2018,63,25.45,74,0
25-02-2018,0,25.95,79,0
26-02-2018,64,25.05,86,0
27-02-2018,57,26.5,76.5,0
28-02-2018,48,26.45,79,0
